product_name,brands_tags,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,sodium_100g,serving_quantity,allergens_tags,traces
Cadbury Crunchie 12 Treat Size,Cadbury,18.4,75.7,65.9,3,0.224536,18,,"en:nuts,en:peanuts"
Whispa gold,Cadbury,28,59,49,5.1,0.132,48,en:milk,en:nuts
Cadbury Dairy Milk Big Taste Triple Chocolate Bar,Cadbury,31,57,56,6.1,0.12,,"en:gluten,en:milk",
Dairy Milk,Cadbury,30,56,56,8.1,0.096,53,,en:milk
Dairy milk-Rocky road,Cadbury,30.8,53.9,50.3,8.4,0.0276,,,
Cadbury's Wispa gold chocolate egg,Cadbury,31,56,56,7.3,0.096,25,en:milk,en:nuts
Marvellous Creations Jelly Popping,Cadbury,26.5,61,58.5,6.2,0.092,47,en:milk,
Dairy Milk Marvellous Creations Jelly Popping Candy,Cadbury,26.5,61,58.5,6.2,0.092,30,en:milk,"en:gluten,en:milk"
Cadbury Dairy Milk With Oreo Peanut Chocolate Bar,Cadbury,35,54,48,5.9,0.16,,,en:nuts
Cadbury Dairy Milk With Oreo Mint Chocolate Bar,Cadbury,35,54,49,5.9,0.168,,,
Cadbury Crunchie Chocolate Bar X4,Cadbury,17,73,65,3.1,0.284,,en:milk,
Brunch Mixed Berry Bar,Cadbury,15.4,66.2,34.8,4.5,0.192024,35,"en:gluten,en:milk,en:soybeans,en:oats",
Cherry Ripe Special Edition Double Dipped,Cadbury,26.5,55.7,49.7,4.6,0.019304,47,,"en:gluten,en:nuts,en:peanuts"
Dairy Milk Roast Almond,Cadbury,34.4,48.8,46.8,10.8,0.0732,25,"en:milk,en:nuts,en:soybeans","en:eggs,en:gluten,en:nuts,en:peanuts"
Milk Chocolate Peanut Butter Cups,Hershey's,31,57.1,50,11.9,0.357,42,"en:milk,en:peanuts,en:soybeans",
Cookies 'n' Creme,Hershey's,28,63,48,6,0.132,,"en:gluten,en:milk",
Reese's Nutrageous,Hershey's,30,55,45,11,0.14,,,
"Hershey's Special Dark Mildly Sweet Chocolate Extra Large Bar, 4.25-ounce Bars",Hershey's,12,22,19,2,0,,"en:milk,en:nuts,en:soybeans",
Barre Chocolatée Au Lait Hershey's,Hershey's,25.6,65.1,48.8,6.98,0.244,43,en:milk,
Kit Kat Chocolate Strawberry,Hershey's,26.2,64.3,50,7.14,0.0726,42,"en:gluten,en:milk,en:soybeans,fr:milk-fat,fr:skim-milk",en:peanuts
Hershey's Milk Chocolate Extra Large Bar,Hershey's,29,58.1,54.8,6.45,0.082,31,,en:nuts
Hersheys Milk Chocolate Bar,Hershey's,28.3,58.9,52.5,8.3,0.16,,en:soybeans,
Special Milk Castanha-do-Pará,Hershey's,34.4,52,52,6.8,0.0813,25,"en:milk,en:soybeans,pt:castanha-do-para","en:eggs,en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans"
Hershey's Special Dark Chocolate Bars King Size,Hershey's,22,45,37,4,0.12,,"en:milk,en:nuts,en:soybeans",
Sweet And Salty Nut Bars - Dark Chocolate,Nature Valley,24,63,27,9,0.18,35,en:nuts,"en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans,en:oat"
Sweet & Salty Nut Dark Almond Bar,Nature Valley,23.8,45.7,21.9,9.9,0.388,30,"en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans,fr:avoine",en:nuts
Trail Mix Chewy Granola Bars Coccanut Dark Chocolate,Nature Valley,12.5,71.875,18.75,6.25,0.21875,,,
Protein Bars Peanut Almond & Dark Chocolate Flavour,Nature Valley,29.7,32.4,21.6,29.7,0.467,37,"en:milk,en:nuts,en:peanuts,en:soybeans",
